parent_id,name,phone,occupation,address,student_id
P00001,Nahom Solomon,0922695264,Engineer,Nefas Silk,ST00001
P00002,Yonatan Tadesse,0991543113,Teacher,Alem Bank,ST00002
P00003,Eden Fekadu,0915736259,Government Employee,Alem Bank,ST00003
P00004,Abel Abebe,0927134329,Nurse,Kality,ST00004
P00005,Tigist Mekonnen,0985750423,Engineer,Akaki,ST00005
P00006,Daniel Alemu,0971748167,Nurse,Nefas Silk,ST00006
P00007,Selam Desta,0975981755,Driver,Kality,ST00007
P00008,Henok Kassa,0987797808,Farmer,Lebu,ST00008
P00009,Robel Tsegaye,0928876756,Merchant,Nefas Silk,ST00009
P00010,Hana Hailu,0911496895,Nurse,Nefas Silk,ST00010
P00011,Bethlehem Abebe,0964618859,Nurse,Kality,ST00011
P00012,Daniel Solomon,0923279030,Driver,Nefas Silk,ST00012
P00013,Genet Mekonnen,0931525190,Driver,Akaki,ST00013
P00014,Biruk Fekadu,0996269461,Engineer,Kolfe,ST00014
P00015,Yosef Bekele,0983946279,Farmer,Akaki,ST00015
P00016,Elias Mekonnen,0919316606,Nurse,Alem Bank,ST00016
P00017,Kidus Fikre,0986191851,Government Employee,Nefas Silk,ST00017
P00018,Elias Girma,0931040188,Teacher,Kality,ST00018
P00019,Tewodros Solomon,0995091677,Driver,Alem Bank,ST00019
P00020,Robel Yohannes,0998372550,Farmer,Kality,ST00020
P00021,Ruth Nigatu,0950266073,Government Employee,Lebu,ST00021
P00022,Eden Worku,0955123315,Farmer,Lebu,ST00022
P00023,Saba Tesfaye,0911436648,Driver,Kality,ST00023
P00024,Meron Desta,0915280936,Driver,Lebu,ST00024
P00025,Mahlet Nigatu,0979657430,Teacher,Nefas Silk,ST00025
P00026,Hiwot Getachew,0912927550,Teacher,Akaki,ST00026
P00027,Liya Fekadu,0921744287,Teacher,Alem Bank,ST00027
P00028,Mekdes Fekadu,0956637418,Driver,Alem Bank,ST00028
P00029,Natnael Getachew,0989088396,Driver,Kality,ST00029
P00030,Elias Yohannes,0921058099,Government Employee,Nefas Silk,ST00030
P00031,Natnael Yohannes,0933121305,Engineer,Nefas Silk,ST00031
P00032,Biruk Solomon,0950638731,Merchant,Nefas Silk,ST00032
P00033,Biniam Solomon,0941356839,Merchant,Kality,ST00033
P00034,Ruth Abebe,0965740939,Government Employee,Alem Bank,ST00034
P00035,Henok Worku,0927022662,Merchant,Nefas Silk,ST00035
P00036,Biniam Hailu,0976594701,Government Employee,Kolfe,ST00036
P00037,Rahel Solomon,0922533110,Teacher,Akaki,ST00037
P00038,Daniel Getachew,0953329366,Engineer,Alem Bank,ST00038
P00039,Nahom Girma,0965449524,Engineer,Nefas Silk,ST00039
P00040,Mekdes Solomon,0946568001,Government Employee,Kolfe,ST00040
P00041,Dawit Kebede,0950495598,Merchant,Nefas Silk,ST00041
P00042,Mahlet Girma,0950894834,Engineer,Kolfe,ST00042
P00043,Yonatan Tesema,0966070853,Merchant,Alem Bank,ST00043
P00044,Robel Fikre,0918307779,Teacher,Alem Bank,ST00044
P00045,Almaz Alemu,0959813129,Nurse,Lebu,ST00045
P00046,Ruth Fikre,0917485807,Engineer,Kality,ST00046
P00047,Saba Desta,0983355760,Teacher,Kolfe,ST00047
P00048,Abel Abebe,0938784144,Engineer,Alem Bank,ST00048
P00049,Biruk Tadesse,0976437700,Nurse,Akaki,ST00049
P00050,Hiwot Tesfaye,0990219099,Engineer,Lebu,ST00050
P00051,Rediet Abebe,0930020627,Government Employee,Nefas Silk,ST00051
P00052,Samuel Girma,0990053512,Merchant,Lebu,ST00052
P00053,Natnael Tesema,0918881605,Government Employee,Kolfe,ST00053
P00054,Abel Mekonnen,0963099645,Nurse,Lebu,ST00054
P00055,Rahel Tadesse,0952119910,Driver,Lebu,ST00055
P00056,Bethlehem Tsegaye,0962079230,Nurse,Lebu,ST00056
P00057,Henok Fikre,0954011741,Driver,Kality,ST00057
P00058,Yared Alemu,0985090464,Merchant,Akaki,ST00058
P00059,Almaz Solomon,0941860096,Government Employee,Kality,ST00059
P00060,Yonatan Hailu,0943940508,Government Employee,Akaki,ST00060
P00061,Yared Mekonnen,0987058954,Teacher,Nefas Silk,ST00061
P00062,Kaleb Kassa,0988764532,Driver,Kality,ST00062
P00063,Hiwot Girma,0938291674,Farmer,Nefas Silk,ST00063
P00064,Dawit Girma,0929731514,Nurse,Kolfe,ST00064
P00065,Kaleb Tesfaye,0930138368,Government Employee,Kolfe,ST00065
P00066,Betelhem Desta,0954583782,Farmer,Kality,ST00066
P00067,Yared Getachew,0915522303,Engineer,Kality,ST00067
P00068,Tigist Nigatu,0950205599,Engineer,Kality,ST00068
P00069,Samuel Tesema,0930359437,Teacher,Nefas Silk,ST00069
P00070,Saba Bekele,0937913827,Nurse,Alem Bank,ST00070
P00071,Biruk Tadesse,0937904342,Farmer,Alem Bank,ST00071
P00072,Nahom Nigatu,0916943199,Teacher,Akaki,ST00072
P00073,Saron Tesfaye,0998444580,Driver,Lebu,ST00073
P00074,Saba Mekonnen,0912925069,Teacher,Kolfe,ST00074
P00075,Yared Desta,0976419597,Driver,Alem Bank,ST00075
P00076,Saba Worku,0983614437,Government Employee,Akaki,ST00076
P00077,Liya Abebe,0994765260,Engineer,Alem Bank,ST00077
P00078,Biniam Girma,0966123315,Government Employee,Alem Bank,ST00078
P00079,Biruk Mekonnen,0990808210,Teacher,Nefas Silk,ST00079
P00080,Meron Mekonnen,0918754251,Farmer,Akaki,ST00080
P00081,Abel Tadesse,0973242840,Teacher,Alem Bank,ST00081
P00082,Bethlehem Nigatu,0977470131,Farmer,Lebu,ST00082
P00083,Mahlet Hailu,0982594714,Merchant,Kolfe,ST00083
P00084,Kaleb Bekele,0951463116,Nurse,Alem Bank,ST00084
P00085,Saba Abebe,0935487861,Merchant,Nefas Silk,ST00085
P00086,Liya Hailu,0958391209,Merchant,Lebu,ST00086
P00087,Saba Tadesse,0937604668,Merchant,Alem Bank,ST00087
P00088,Bethlehem Yohannes,0947386801,Driver,Kolfe,ST00088
P00089,Liya Desta,0982616521,Farmer,Akaki,ST00089
P00090,Solomon Girma,0963852242,Nurse,Akaki,ST00090
P00091,Bereket Nigatu,0915140073,Farmer,Nefas Silk,ST00091
P00092,Rediet Desta,0943931889,Teacher,Kolfe,ST00092
P00093,Biruk Desta,0917818047,Farmer,Kality,ST00093
P00094,Yonatan Desta,0944516386,Nurse,Kolfe,ST00094
P00095,Saba Tesema,0942006408,Government Employee,Kolfe,ST00095
P00096,Fikirte Solomon,0962199445,Government Employee,Kolfe,ST00096
P00097,Ruth Solomon,0942249521,Nurse,Lebu,ST00097
P00098,Biniam Alemu,0970810157,Teacher,Kality,ST00098
P00099,Robel Nigatu,0922215748,Merchant,Akaki,ST00099
P00100,Natnael Tesema,0924076215,Merchant,Kolfe,ST00100
P00101,Hiwot Bekele,0964074606,Government Employee,Akaki,ST00101
P00102,Biniam Bekele,0979313462,Government Employee,Kolfe,ST00102
P00103,Henok Tsegaye,0963351771,Merchant,Lebu,ST00103
P00104,Tewodros Hailu,0962163345,Merchant,Kolfe,ST00104
P00105,Solomon Tsegaye,0917460312,Engineer,Kality,ST00105
P00106,Kaleb Alemu,0963362912,Farmer,Kality,ST00106
P00107,Samrawit Fikre,0961701266,Nurse,Alem Bank,ST00107
P00108,Mahlet Bekele,0987038780,Government Employee,Kality,ST00108
P00109,Fikirte Worku,0962319755,Driver,Alem Bank,ST00109
P00110,Kaleb Tadesse,0970772546,Engineer,Kality,ST00110
P00111,Fikirte Tadesse,0997983663,Nurse,Alem Bank,ST00111
P00112,Rahel Fikre,0920118461,Driver,Kality,ST00112
P00113,Samrawit Kassa,0943721827,Farmer,Alem Bank,ST00113
P00114,Tigist Yohannes,0933491961,Government Employee,Alem Bank,ST00114
P00115,Mekdes Kassa,0935567339,Engineer,Kolfe,ST00115
P00116,Almaz Kassa,0974242840,Engineer,Alem Bank,ST00116
P00117,Daniel Tesfaye,0967425843,Engineer,Kality,ST00117
P00118,Saron Tesema,0998609474,Teacher,Kolfe,ST00118
P00119,Yosef Desta,0952387536,Engineer,Nefas Silk,ST00119
P00120,Robel Tsegaye,0918408350,Government Employee,Nefas Silk,ST00120
P00121,Eden Fekadu,0932223716,Nurse,Nefas Silk,ST00121
P00122,Biniam Tsegaye,0984453163,Merchant,Kolfe,ST00122
P00123,Hiwot Fikre,0997438367,Engineer,Alem Bank,ST00123
P00124,Filmon Desta,0935890283,Driver,Nefas Silk,ST00124
P00125,Hiwot Tadesse,0986133987,Nurse,Lebu,ST00125
P00126,Hana Kebede,0948664562,Government Employee,Lebu,ST00126
P00127,Henok Tsegaye,0995563142,Merchant,Alem Bank,ST00127
P00128,Hana Getachew,0925153255,Merchant,Kolfe,ST00128
P00129,Rediet Tadesse,0940668403,Driver,Alem Bank,ST00129
P00130,Solomon Abebe,0950084007,Farmer,Lebu,ST00130
P00131,Natnael Tadesse,0993692810,Teacher,Lebu,ST00131
P00132,Abel Tesema,0930622933,Farmer,Kolfe,ST00132
P00133,Hiwot Tadesse,0944601064,Nurse,Alem Bank,ST00133
P00134,Samuel Abebe,0984157851,Merchant,Lebu,ST00134
P00135,Tewodros Fekadu,0917403857,Merchant,Nefas Silk,ST00135
P00136,Almaz Kebede,0914709705,Government Employee,Kolfe,ST00136
P00137,Natnael Yohannes,0978523184,Driver,Akaki,ST00137
P00138,Mekdes Fikre,0960880194,Merchant,Alem Bank,ST00138
P00139,Tewodros Bekele,0915865459,Nurse,Akaki,ST00139
P00140,Yosef Getachew,0971230092,Teacher,Kolfe,ST00140
P00141,Samrawit Bekele,0964308909,Government Employee,Nefas Silk,ST00141
P00142,Ruth Abebe,0952193833,Driver,Alem Bank,ST00142
P00143,Tigist Getachew,0917947122,Merchant,Kolfe,ST00143
P00144,Hana Girma,0963975677,Driver,Akaki,ST00144
P00145,Dawit Tesema,0996749315,Engineer,Alem Bank,ST00145
P00146,Dawit Girma,0973616156,Merchant,Nefas Silk,ST00146
P00147,Abel Hailu,0958087287,Farmer,Kality,ST00147
P00148,Samuel Worku,0985694582,Government Employee,Kality,ST00148
P00149,Almaz Desta,0995012077,Farmer,Alem Bank,ST00149
P00150,Hiwot Tesema,0957430291,Farmer,Alem Bank,ST00150
P00151,Filmon Girma,0985814615,Nurse,Lebu,ST00151
P00152,Selam Hailu,0963946798,Government Employee,Alem Bank,ST00152
P00153,Mekdes Tesfaye,0963934291,Engineer,Kality,ST00153
P00154,Selam Alemu,0981892663,Farmer,Nefas Silk,ST00154
P00155,Dawit Kebede,0963762324,Engineer,Akaki,ST00155
P00156,Samuel Tesema,0945829590,Farmer,Lebu,ST00156
P00157,Bethlehem Fekadu,0990062366,Government Employee,Nefas Silk,ST00157
P00158,Samuel Fikre,0947279988,Nurse,Nefas Silk,ST00158
P00159,Abel Solomon,0977685344,Farmer,Kality,ST00159
P00160,Nahom Kassa,0947515347,Nurse,Kality,ST00160
P00161,Mahlet Tsegaye,0910757443,Teacher,Alem Bank,ST00161
P00162,Genet Kebede,0999757632,Farmer,Lebu,ST00162
P00163,Fikirte Tsegaye,0967925910,Engineer,Kolfe,ST00163
P00164,Kaleb Tesfaye,0918126081,Teacher,Kolfe,ST00164
P00165,Hiwot Fikre,0995220080,Farmer,Kolfe,ST00165
P00166,Saron Bekele,0929330762,Nurse,Alem Bank,ST00166
P00167,Kaleb Alemu,0929653679,Teacher,Nefas Silk,ST00167
P00168,Natnael Hailu,0980412909,Merchant,Akaki,ST00168
