student_id,first_name,last_name,gender,grade,section,branch,date_of_birth
ST00001,Dawit,Alemu,M,Grade 6,A,Alem Bank Campus,2016-07-25
ST00002,Bethlehem,Alemu,F,Grade 10,A,Nefas Silk Campus,2013-02-12
ST00003,Yonatan,Bekele,M,Grade 7,A,Alem Bank Campus,2009-11-10
ST00004,Henok,Abebe,M,Grade 1,C,Nefas Silk Campus,2016-01-18
ST00005,Natnael,Fekadu,M,Grade 3,B,Nefas Silk Campus,2017-11-09
ST00006,Liya,Hailu,F,Grade 8,B,Akaki Campus,2016-06-23
ST00007,Yonatan,Kassa,M,Grade 2,C,Alem Bank Campus,2015-01-01
ST00008,Hana,Alemu,F,Grade 12,A,Alem Bank Campus,2017-08-10
ST00009,Samrawit,Solomon,F,Grade 3,B,Nefas Silk Campus,2016-04-17
ST00010,Fikirte,Tadesse,F,Grade 3,B,Akaki Campus,2010-08-02
ST00011,Samrawit,Hailu,F,Grade 11,A,Akaki Campus,2009-06-18
ST00012,Daniel,Fikre,M,Grade 10,A,Akaki Campus,2013-01-11
ST00013,Daniel,Hailu,M,Grade 6,B,Akaki Campus,2014-08-16
ST00014,Natnael,Worku,M,Grade 11,C,Akaki Campus,2016-11-29
ST00015,Nahom,Bekele,M,Grade 3,A,Akaki Campus,2014-05-14
ST00016,Ruth,Fekadu,F,Grade 4,B,Nefas Silk Campus,2016-06-06
ST00017,Daniel,Kassa,M,Grade 6,A,Akaki Campus,2015-12-27
ST00018,Meron,Kassa,F,Grade 6,C,Akaki Campus,2009-03-01
ST00019,Biniam,Bekele,M,Grade 2,C,Akaki Campus,2013-01-13
ST00020,Kaleb,Fikre,M,Grade 9,A,Alem Bank Campus,2015-08-11
ST00021,Solomon,Nigatu,M,Grade 4,C,Akaki Campus,2014-11-20
ST00022,Hiwot,Abebe,F,Grade 9,C,Nefas Silk Campus,2007-12-08
ST00023,Kidus,Bekele,M,Grade 11,A,Nefas Silk Campus,2014-09-28
ST00024,Samrawit,Abebe,F,Grade 5,A,Alem Bank Campus,2011-09-01
ST00025,Elias,Tsegaye,M,Grade 3,A,Nefas Silk Campus,2016-10-04
ST00026,Solomon,Getachew,M,Grade 3,B,Alem Bank Campus,2015-10-19
ST00027,Meron,Kebede,F,Grade 12,B,Alem Bank Campus,2009-01-22
ST00028,Hiwot,Yohannes,F,Grade 1,A,Alem Bank Campus,2014-12-30
